(-9, -5, 33), [3, 3, 1], 3.25.ao_dz_avb 
(-6, -8, 31), [2, 0, 3], 3.25.ao_ea_awo 
(2, -16, 111), [2, 0, 3], 3.25.ao_ea_awg 
(-9, -5, 34), [3, 3, 2], 3.25.ao_ea_avk 
(-6, -8, 32), [2, 0, 0], 3.25.ao_eb_awu 
(2, -16, 112), [2, 0, 0], 3.25.ao_eb_awe 
(-7, -7, 31), [1, 1, 3], 3.25.ao_eb_avv 
(-8, -6, 32), [0, 2, 0], 3.25.ao_eb_avk 
(-6, -8, 33), [2, 0, 1], 3.25.ao_ec_axa 
(-6, -8, 34), [2, 0, 2], 3.25.ao_ed_axg 
(-9, -5, 37), [3, 3, 1], 3.25.ao_ed_awl 
(-7, -7, 33), [1, 1, 1], 3.25.ao_ed_awj 
(-9, -5, 38), [3, 3, 2], 3.25.ao_ee_awu 
(-7, -7, 34), [1, 1, 2], 3.25.ao_ee_awq 
(-6, -8, 36), [2, 0, 0], 3.25.ao_ef_axs 
(-9, -5, 39), [3, 3, 3], 3.25.ao_ef_axd 
(-8, -6, 36), [0, 2, 0], 3.25.ao_ef_awq 
(-6, -8, 37), [2, 0, 1], 3.25.ao_eg_axy 
(-7, -7, 36), [1, 1, 0], 3.25.ao_eg_axe 
(1, -15, 101), [1, 1, 1], 3.25.ao_eh_ayz 
(-6, -8, 38), [2, 0, 2], 3.25.ao_eh_aye 
(-9, -5, 41), [3, 3, 1], 3.25.ao_eh_axv 
