(5, 1, -11), [5, 1, 7], 3.9.g_d_abl 
(5, 1, -7), [5, 1, 2], 3.9.g_h_ar 
(5, 1, -5), [5, 1, 4], 3.9.g_j_ah 
(5, 1, -1), [5, 1, 8], 3.9.g_n_n 
(5, 1, 1), [5, 1, 1], 3.9.g_p_x 
(4, 2, 11), [4, 2, 2], 3.9.g_bc_dc 
(4, 2, 13), [4, 2, 4], 3.9.g_be_dk 
(1, 5, 19), [1, 5, 1], 3.9.g_bh_ef 
(4, 2, 17), [4, 2, 8], 3.9.g_bi_ea 
(1, 5, 23), [1, 5, 5], 3.9.g_bl_ej 
(5, 2, -5), [5, 2, 4], 3.9.h_o_l 
(5, 2, -4), [5, 2, 5], 3.9.h_p_q 
(5, 2, -1), [5, 2, 8], 3.9.h_s_bf 
(5, 2, 1), [5, 2, 1], 3.9.h_u_bp 
(5, 2, 2), [5, 2, 2], 3.9.h_v_bu 
(5, 2, 4), [5, 2, 4], 3.9.h_x_ce 
(5, 2, 5), [5, 2, 5], 3.9.h_y_cj 
(5, 2, 7), [5, 2, 7], 3.9.h_ba_ct 
(5, 2, 11), [5, 2, 2], 3.9.h_be_dn 
(4, 3, 11), [4, 3, 2], 3.9.h_bg_du 
(5, 2, 13), [5, 2, 4], 3.9.h_bg_dx 
(-1, 8, 31), [8, 8, 4], 3.9.h_bg_ej 
(4, 3, 13), [4, 3, 4], 3.9.h_bi_ec 
(1, 6, 19), [1, 6, 1], 3.9.h_bi_ex 
(1, 6, 20), [1, 6, 2], 3.9.h_bj_ey 
(5, 2, 17), [5, 2, 8], 3.9.h_bk_er 
(4, 3, 16), [4, 3, 7], 3.9.h_bl_eo 
(1, 6, 22), [1, 6, 4], 3.9.h_bl_fa 
(4, 3, 17), [4, 3, 8], 3.9.h_bm_es 
(1, 6, 25), [1, 6, 7], 3.9.h_bo_fd 
(2, 5, 23), [2, 5, 5], 3.9.h_bq_fg 
(5, 3, 5), [5, 3, 5], 3.9.i_bd_db 
(5, 3, 7), [5, 3, 7], 3.9.i_bf_dl 
(4, 4, 7), [4, 4, 7], 3.9.i_bg_dw 
(5, 3, 10), [5, 3, 1], 3.9.i_bi_ea 
(5, 3, 11), [5, 3, 2], 3.9.i_bj_ef 
(1, 7, 25), [1, 7, 7], 3.9.i_bp_fv 
(4, 4, 17), [4, 4, 8], 3.9.i_bq_fk 
(5, 3, 19), [5, 3, 1], 3.9.i_br_ft 
(4, 4, 19), [4, 4, 1], 3.9.i_bs_fs 
(2, 6, 25), [2, 6, 7], 3.9.i_bu_gc 
(5, 4, 7), [5, 4, 7], 3.9.j_bk_ed 
(5, 4, 8), [5, 4, 8], 3.9.j_bl_ei 
(5, 4, 10), [5, 4, 1], 3.9.j_bn_es 
(5, 4, 11), [5, 4, 2], 3.9.j_bo_ex 
(5, 4, 14), [5, 4, 5], 3.9.j_br_fm 
