(-8, -2, -3), [0, 2, 1], 3.17.ak_be_abs 
(-7, -3, -7), [1, 1, 1], 3.17.ak_bf_acb 
(-8, -2, -2), [0, 2, 2], 3.17.ak_bf_aca 
(-7, -3, -5), [1, 1, 3], 3.17.ak_bh_acp 
(-8, -2, 1), [0, 2, 1], 3.17.ak_bi_acy 
(-7, -3, -4), [1, 1, 0], 3.17.ak_bi_acw 
(-8, -2, 2), [0, 2, 2], 3.17.ak_bj_adg 
(-7, -3, -3), [1, 1, 1], 3.17.ak_bj_add 
(-8, -2, 3), [0, 2, 3], 3.17.ak_bk_ado 
(-7, -3, -2), [1, 1, 2], 3.17.ak_bk_adk 
(-8, -2, 4), [0, 2, 0], 3.17.ak_bl_adw 
(-7, -3, -1), [1, 1, 3], 3.17.ak_bl_adr 
(-8, -2, 5), [0, 2, 1], 3.17.ak_bm_aee 
(-8, -2, 6), [0, 2, 2], 3.17.ak_bn_aem 
(-7, -3, 1), [1, 1, 1], 3.17.ak_bn_aef 
(-6, -4, -1), [2, 0, 3], 3.17.ak_bo_afa 
(-8, -2, 7), [0, 2, 3], 3.17.ak_bo_aeu 
(-7, -3, 2), [1, 1, 2], 3.17.ak_bo_aem 
(-8, -2, 8), [0, 2, 0], 3.17.ak_bp_afc 
(-6, -4, 1), [2, 0, 1], 3.17.ak_bq_afm 
(-8, -2, 9), [0, 2, 1], 3.17.ak_bq_afk 
(-7, -3, 4), [1, 1, 0], 3.17.ak_bq_afa 
(-8, -2, 11), [0, 2, 3], 3.17.ak_bs_aga 
(-6, -4, 3), [2, 0, 3], 3.17.ak_bs_afy 
(-8, -2, 12), [0, 2, 0], 3.17.ak_bt_agi 
(-6, -4, 4), [2, 0, 0], 3.17.ak_bt_age 
(-8, -2, 13), [0, 2, 1], 3.17.ak_bu_agq 
(-6, -4, 5), [2, 0, 1], 3.17.ak_bu_agk 
(-7, -3, 8), [1, 1, 0], 3.17.ak_bu_agc 
(-8, -2, 14), [0, 2, 2], 3.17.ak_bv_agy 
(-6, -4, 6), [2, 0, 2], 3.17.ak_bv_agq 
(-8, -2, 15), [0, 2, 3], 3.17.ak_bw_ahg 
(-6, -4, 7), [2, 0, 3], 3.17.ak_bw_agw 
(-7, -3, 10), [1, 1, 2], 3.17.ak_bw_agq 
(-8, -2, 16), [0, 2, 0], 3.17.ak_bx_aho 
(-6, -4, 8), [2, 0, 0], 3.17.ak_bx_ahc 
(-7, -3, 11), [1, 1, 3], 3.17.ak_bx_agx 
(-5, -5, 8), [3, 3, 0], 3.17.ak_by_aic 
(-6, -4, 9), [2, 0, 1], 3.17.ak_by_ahi 
(-7, -3, 12), [1, 1, 0], 3.17.ak_by_ahe 
(-5, -5, 9), [3, 3, 1], 3.17.ak_bz_aih 
(-8, -2, 18), [0, 2, 2], 3.17.ak_bz_aie 
(-6, -4, 10), [2, 0, 2], 3.17.ak_bz_aho 
(-7, -3, 13), [1, 1, 1], 3.17.ak_bz_ahl 
(-6, -4, 11), [2, 0, 3], 3.17.ak_ca_ahu 
(-7, -3, 14), [1, 1, 2], 3.17.ak_ca_ahs 
(-8, -2, 20), [0, 2, 0], 3.17.ak_cb_aiu 
(-5, -5, 11), [3, 3, 3], 3.17.ak_cb_air 
(3, -13, 75), [3, 3, 3], 3.17.ak_cb_aij 
(-6, -4, 12), [2, 0, 0], 3.17.ak_cb_aia 
(-7, -3, 15), [1, 1, 3], 3.17.ak_cb_ahz 
(-8, -2, 21), [0, 2, 1], 3.17.ak_cc_ajc 
(-5, -5, 12), [3, 3, 0], 3.17.ak_cc_aiw 
(-8, -2, 22), [0, 2, 2], 3.17.ak_cd_ajk 
(-5, -5, 13), [3, 3, 1], 3.17.ak_cd_ajb 
(-6, -4, 14), [2, 0, 2], 3.17.ak_cd_aim 
(-8, -2, 23), [0, 2, 3], 3.17.ak_ce_ajs 
(-5, -5, 14), [3, 3, 2], 3.17.ak_ce_ajg 
(-7, -3, 18), [1, 1, 2], 3.17.ak_ce_aiu 
(-6, -4, 15), [2, 0, 3], 3.17.ak_ce_ais 
(-4, -6, 16), [0, 2, 0], 3.17.ak_cf_aki 
(-8, -2, 24), [0, 2, 0], 3.17.ak_cf_aka 
