(-7, -3, 2), [10, 14, 2], 3.17.ak_bo_aem 
(-8, -2, 8), [9, 15, 8], 3.17.ak_bp_afc 
(-6, -4, 1), [11, 13, 1], 3.17.ak_bq_afm 
(-8, -2, 9), [9, 15, 9], 3.17.ak_bq_afk 
(-7, -3, 4), [10, 14, 4], 3.17.ak_bq_afa 
(-8, -2, 11), [9, 15, 11], 3.17.ak_bs_aga 
(-6, -4, 3), [11, 13, 3], 3.17.ak_bs_afy 
(-8, -2, 12), [9, 15, 12], 3.17.ak_bt_agi 
(-6, -4, 4), [11, 13, 4], 3.17.ak_bt_age 
(-8, -2, 13), [9, 15, 13], 3.17.ak_bu_agq 
(-6, -4, 5), [11, 13, 5], 3.17.ak_bu_agk 
(-7, -3, 8), [10, 14, 8], 3.17.ak_bu_agc 
(-8, -2, 14), [9, 15, 14], 3.17.ak_bv_agy 
(-6, -4, 6), [11, 13, 6], 3.17.ak_bv_agq 
(-8, -2, 15), [9, 15, 15], 3.17.ak_bw_ahg 
(-6, -4, 7), [11, 13, 7], 3.17.ak_bw_agw 
(-7, -3, 10), [10, 14, 10], 3.17.ak_bw_agq 
(-8, -2, 16), [9, 15, 16], 3.17.ak_bx_aho 
(-6, -4, 8), [11, 13, 8], 3.17.ak_bx_ahc 
(-7, -3, 11), [10, 14, 11], 3.17.ak_bx_agx 
(-5, -5, 8), [12, 12, 8], 3.17.ak_by_aic 
(-6, -4, 9), [11, 13, 9], 3.17.ak_by_ahi 
(-7, -3, 12), [10, 14, 12], 3.17.ak_by_ahe 
(-5, -5, 9), [12, 12, 9], 3.17.ak_bz_aih 
(-8, -2, 18), [9, 15, 1], 3.17.ak_bz_aie 
(-6, -4, 10), [11, 13, 10], 3.17.ak_bz_aho 
(-7, -3, 13), [10, 14, 13], 3.17.ak_bz_ahl 
(-6, -4, 11), [11, 13, 11], 3.17.ak_ca_ahu 
(-7, -3, 14), [10, 14, 14], 3.17.ak_ca_ahs 
(-8, -2, 20), [9, 15, 3], 3.17.ak_cb_aiu 
(-5, -5, 11), [12, 12, 11], 3.17.ak_cb_air 
(3, -13, 75), [3, 4, 7], 3.17.ak_cb_aij 
(-6, -4, 12), [11, 13, 12], 3.17.ak_cb_aia 
(-7, -3, 15), [10, 14, 15], 3.17.ak_cb_ahz 
(-8, -2, 21), [9, 15, 4], 3.17.ak_cc_ajc 
(-5, -5, 12), [12, 12, 12], 3.17.ak_cc_aiw 
(-8, -2, 22), [9, 15, 5], 3.17.ak_cd_ajk 
(-5, -5, 13), [12, 12, 13], 3.17.ak_cd_ajb 
(-6, -4, 14), [11, 13, 14], 3.17.ak_cd_aim 
(-8, -2, 23), [9, 15, 6], 3.17.ak_ce_ajs 
(-5, -5, 14), [12, 12, 14], 3.17.ak_ce_ajg 
(-7, -3, 18), [10, 14, 1], 3.17.ak_ce_aiu 
(-6, -4, 15), [11, 13, 15], 3.17.ak_ce_ais 
(-4, -6, 16), [13, 11, 16], 3.17.ak_cf_aki 
(-8, -2, 24), [9, 15, 7], 3.17.ak_cf_aka 
