(-3, -4, 3), [10, 9, 3], 3.13.ah_bc_aej 
(-7, 0, 15), [6, 0, 2], 3.13.ah_bc_aeb 
(-5, -2, 5), [8, 11, 5], 3.13.ah_bc_acz 
(-5, -2, 7), [8, 11, 7], 3.13.ah_be_adj 
(-5, -2, 8), [8, 11, 8], 3.13.ah_bf_ado 
(-7, 0, 19), [6, 0, 6], 3.13.ah_bg_afd 
(-3, -4, 7), [10, 9, 7], 3.13.ah_bg_aev 
(3, -10, 49), [3, 3, 10], 3.13.ah_bg_aej 
(-5, -2, 9), [8, 11, 9], 3.13.ah_bg_adt 
(-5, -2, 10), [8, 11, 10], 3.13.ah_bh_ady 
(-7, 0, 21), [6, 0, 8], 3.13.ah_bi_afr 
(-3, -4, 9), [10, 9, 9], 3.13.ah_bi_afb 
(-5, -2, 12), [8, 11, 12], 3.13.ah_bj_aei 
(-7, 0, 23), [6, 0, 10], 3.13.ah_bk_agf 
(-3, -4, 11), [10, 9, 11], 3.13.ah_bk_afh 
(-5, -2, 14), [8, 11, 1], 3.13.ah_bl_aes 
(-5, -2, 15), [8, 11, 2], 3.13.ah_bm_aex 
(-1, -6, 21), [12, 7, 8], 3.13.ah_bo_agv 
(1, -8, 35), [1, 5, 9], 3.13.ah_bo_agr 
(-3, -4, 15), [10, 9, 2], 3.13.ah_bo_aft 
(-5, -2, 17), [8, 11, 4], 3.13.ah_bo_afh 
(-1, -6, 23), [12, 7, 10], 3.13.ah_bq_agx 
(1, -8, 37), [1, 5, 11], 3.13.ah_bq_agp 
(-3, -4, 17), [10, 9, 4], 3.13.ah_bq_afz 
(-5, -2, 19), [8, 11, 6], 3.13.ah_bq_afr 
(-1, -6, 25), [12, 7, 12], 3.13.ah_bs_agz 
(-3, -4, 19), [10, 9, 6], 3.13.ah_bs_agf 
(-5, -2, 21), [8, 11, 8], 3.13.ah_bs_agb 
(-4, -3, 19), [9, 10, 6], 3.13.ah_bs_afy 
(-4, -3, 20), [9, 10, 7], 3.13.ah_bt_agc 
(-1, -6, 27), [12, 7, 1], 3.13.ah_bu_ahb 
(-4, -3, 21), [9, 10, 8], 3.13.ah_bu_agg 
(-1, -6, 28), [12, 7, 2], 3.13.ah_bv_ahc 
(-1, -6, 29), [12, 7, 3], 3.13.ah_bw_ahd 
(-5, -2, 25), [8, 11, 12], 3.13.ah_bw_agv 
(-3, -4, 23), [10, 9, 10], 3.13.ah_bw_agr 
(-4, -3, 23), [9, 10, 10], 3.13.ah_bw_ago 
(-1, -6, 30), [12, 7, 4], 3.13.ah_bx_ahe 
(-4, -3, 24), [9, 10, 11], 3.13.ah_bx_ags 
(-3, -4, 25), [10, 9, 12], 3.13.ah_by_agx 
(-4, -3, 25), [9, 10, 12], 3.13.ah_by_agw 
(-1, -6, 32), [12, 7, 6], 3.13.ah_bz_ahg 
(-1, -6, 33), [12, 7, 7], 3.13.ah_ca_ahh 
(-2, -5, 29), [11, 8, 3], 3.13.ah_ca_ahg 
(-3, -4, 27), [10, 9, 1], 3.13.ah_ca_ahd 
(-3, -4, 28), [10, 9, 2], 3.13.ah_cb_ahg 
(-2, -5, 31), [11, 8, 5], 3.13.ah_cc_ahk 
(-7, 1, -18), [6, 1, 8], 3.13.ag_am_fw 
(-7, 1, -17), [6, 1, 9], 3.13.ag_al_fp 
(-7, 1, -11), [6, 1, 2], 3.13.ag_af_dz 
(-7, 1, -5), [6, 1, 8], 3.13.ag_b_cj 
(-6, 0, -11), [7, 0, 2], 3.13.ag_c_co 
(-6, 0, -9), [7, 0, 4], 3.13.ag_e_cc 
(-5, -1, 3), [8, 12, 3], 3.13.ag_v_abp 
(-5, -1, 5), [8, 12, 5], 3.13.ag_x_abz 
(-5, -1, 7), [8, 12, 7], 3.13.ag_z_acj 
(-5, -1, 9), [8, 12, 9], 3.13.ag_bb_act 
(1, -7, 25), [1, 6, 12], 3.13.ag_bf_agb 
(-4, -2, 17), [9, 11, 4], 3.13.ag_bm_aeq 
(-4, -2, 19), [9, 11, 6], 3.13.ag_bo_aey 
(-4, -2, 21), [9, 11, 8], 3.13.ag_bq_afg 
(-5, -1, 25), [8, 12, 12], 3.13.ag_br_afv 
(-1, -5, 27), [12, 8, 1], 3.13.ag_bt_agb 
(-3, -3, 23), [10, 10, 10], 3.13.ag_bt_afr 
(-1, -5, 29), [12, 8, 3], 3.13.ag_bv_agd 
(-3, -3, 25), [10, 10, 12], 3.13.ag_bv_afx 
(-1, -5, 31), [12, 8, 5], 3.13.ag_bx_agf 
(-3, -3, 27), [10, 10, 1], 3.13.ag_bx_agd 
(-5, 0, -25), [8, 0, 1], 3.13.af_am_ev 
(-7, 2, -11), [6, 2, 2], 3.13.af_am_ez 
(-5, 0, -24), [8, 0, 2], 3.13.af_al_eq 
