(-5, -6, 40), [3, 2, 0], 3.17.al_dj_apo 
(-3, -8, 47), [1, 0, 3], 3.17.al_dk_apx 
(-4, -7, 43), [0, 1, 3], 3.17.al_dk_apu 
(-5, -6, 41), [3, 2, 1], 3.17.al_dk_apt 
(-3, -8, 48), [1, 0, 0], 3.17.al_dl_aqa 
(-4, -7, 45), [0, 1, 1], 3.17.al_dm_aqc 
(-8, -2, -16), [0, 2, 0], 3.17.ak_r_ci 
(-8, -2, -15), [0, 2, 1], 3.17.ak_s_ca 
(-8, -2, -13), [0, 2, 3], 3.17.ak_u_bk 
(-8, -2, -11), [0, 2, 1], 3.17.ak_w_u 
(-8, -2, -9), [0, 2, 3], 3.17.ak_y_e 
(-7, -3, 3), [1, 1, 3], 3.17.ak_bp_aet 
(-7, -3, 5), [1, 1, 1], 3.17.ak_br_afh 
(-7, -3, 7), [1, 1, 3], 3.17.ak_bt_afv 
(-7, -3, 9), [1, 1, 1], 3.17.ak_bv_agj 
(-4, -6, 19), [0, 2, 3], 3.17.ak_ci_aku 
(-6, -4, 21), [2, 0, 1], 3.17.ak_ck_akc 
(-6, -4, 23), [2, 0, 3], 3.17.ak_cm_ako 
(-1, -9, 41), [3, 3, 1], 3.17.ak_cp_anj 
(-1, -9, 43), [3, 3, 3], 3.17.ak_cr_anl 
(-1, -9, 45), [3, 3, 1], 3.17.ak_ct_ann 
(-5, -5, 31), [3, 3, 3], 3.17.ak_cv_amn 
(-5, -5, 33), [3, 3, 1], 3.17.ak_cx_amx 
(-5, -5, 35), [3, 3, 3], 3.17.ak_cz_anh 
(-2, -8, 45), [2, 0, 1], 3.17.ak_da_any 
(-1, -9, 53), [3, 3, 1], 3.17.ak_db_anv 
(-5, -5, 37), [3, 3, 1], 3.17.ak_db_anr 
(-2, -8, 47), [2, 0, 3], 3.17.ak_dc_aoc 
(-3, -7, 43), [1, 1, 3], 3.17.ak_dd_aod 
(-4, -6, 41), [0, 2, 1], 3.17.ak_de_aoe 
(-3, -7, 45), [1, 1, 1], 3.17.ak_df_aoj 
(-8, -1, -25), [0, 3, 3], 3.17.aj_a_gk 
(-8, -1, -24), [0, 3, 0], 3.17.aj_b_gc 
