(-7, -1, -15), [1, 3, 1], 3.16.ai_i_cv 
(-7, -1, -7), [1, 3, 1], 3.16.ai_q_r 
(-7, -1, -5), [1, 3, 3], 3.16.ai_s_d 
(-7, -1, -3), [1, 3, 1], 3.16.ai_u_al 
(-7, -1, -1), [1, 3, 3], 3.16.ai_w_az 
(-5, -3, -7), [3, 1, 1], 3.16.ai_y_acj 
(5, -13, 73), [1, 3, 1], 3.16.ai_y_abz 
(-7, -1, 1), [1, 3, 1], 3.16.ai_y_abn 
(-5, -3, -5), [3, 1, 3], 3.16.ai_ba_act 
(-7, -1, 3), [1, 3, 3], 3.16.ai_ba_acb 
(-5, -3, -3), [3, 1, 1], 3.16.ai_bc_add 
(-7, -1, 5), [1, 3, 1], 3.16.ai_bc_acp 
(-5, -3, -1), [3, 1, 3], 3.16.ai_be_adn 
(-7, -1, 7), [1, 3, 3], 3.16.ai_be_add 
(-5, -3, 1), [3, 1, 1], 3.16.ai_bg_adx 
(-7, -1, 9), [1, 3, 1], 3.16.ai_bg_adr 
(-5, -3, 3), [3, 1, 3], 3.16.ai_bi_aeh 
(-7, -1, 11), [1, 3, 3], 3.16.ai_bi_aef 
(-7, -1, 13), [1, 3, 1], 3.16.ai_bk_aet 
(-5, -3, 5), [3, 1, 1], 3.16.ai_bk_aer 
(-7, -1, 15), [1, 3, 3], 3.16.ai_bm_afh 
(-5, -3, 7), [3, 1, 3], 3.16.ai_bm_afb 
(-3, -5, 9), [1, 3, 1], 3.16.ai_bo_ahf 
(3, -11, 57), [3, 1, 1], 3.16.ai_bo_agz 
(-7, -1, 17), [1, 3, 1], 3.16.ai_bo_afv 
(-5, -3, 9), [3, 1, 1], 3.16.ai_bo_afl 
(-3, -5, 11), [1, 3, 3], 3.16.ai_bq_ahl 
(3, -11, 59), [3, 1, 3], 3.16.ai_bq_agt 
(-7, -1, 19), [1, 3, 3], 3.16.ai_bq_agj 
(-5, -3, 11), [3, 1, 3], 3.16.ai_bq_afv 
(-3, -5, 13), [1, 3, 1], 3.16.ai_bs_ahr 
(-7, -1, 21), [1, 3, 1], 3.16.ai_bs_agx 
(3, -11, 61), [3, 1, 1], 3.16.ai_bs_agn 
(-5, -3, 13), [3, 1, 1], 3.16.ai_bs_agf 
(-3, -5, 15), [1, 3, 3], 3.16.ai_bu_ahx 
(-7, -1, 23), [1, 3, 3], 3.16.ai_bu_ahl 
(-5, -3, 15), [3, 1, 3], 3.16.ai_bu_agp 
(-1, -7, 25), [3, 1, 1], 3.16.ai_bw_ajp 
(1, -9, 41), [1, 3, 1], 3.16.ai_bw_ajn 
(-3, -5, 17), [1, 3, 1], 3.16.ai_bw_aid 
(-7, -1, 25), [1, 3, 1], 3.16.ai_bw_ahz 
(-5, -3, 17), [3, 1, 1], 3.16.ai_bw_agz 
(-1, -7, 27), [3, 1, 3], 3.16.ai_by_ajr 
(1, -9, 43), [1, 3, 3], 3.16.ai_by_ajl 
(-7, -1, 27), [1, 3, 3], 3.16.ai_by_ain 
(-3, -5, 19), [1, 3, 3], 3.16.ai_by_aij 
(-5, -3, 19), [3, 1, 3], 3.16.ai_by_ahj 
(-1, -7, 29), [3, 1, 1], 3.16.ai_ca_ajt 
(1, -9, 45), [1, 3, 1], 3.16.ai_ca_ajj 
(-7, -1, 29), [1, 3, 1], 3.16.ai_ca_ajb 
(-3, -5, 21), [1, 3, 1], 3.16.ai_ca_aip 
(-1, -7, 31), [3, 1, 3], 3.16.ai_cc_ajv 
(-7, -1, 31), [1, 3, 3], 3.16.ai_cc_ajp 
(1, -9, 47), [1, 3, 3], 3.16.ai_cc_ajh 
(-3, -5, 23), [1, 3, 3], 3.16.ai_cc_aiv 
(-1, -7, 33), [3, 1, 1], 3.16.ai_ce_ajx 
(1, -9, 49), [1, 3, 1], 3.16.ai_ce_ajf 
(-3, -5, 25), [1, 3, 1], 3.16.ai_ce_ajb 
(-5, -3, 25), [3, 1, 1], 3.16.ai_ce_ain 
(-3, -5, 27), [1, 3, 3], 3.16.ai_cg_ajh 
(1, -9, 51), [1, 3, 3], 3.16.ai_cg_ajd 
(-5, -3, 27), [3, 1, 3], 3.16.ai_cg_aix 
(-3, -5, 29), [1, 3, 1], 3.16.ai_ci_ajn 
(-5, -3, 29), [3, 1, 1], 3.16.ai_ci_ajh 
(-5, -3, 31), [3, 1, 3], 3.16.ai_ck_ajr 
(-5, -3, 33), [3, 1, 1], 3.16.ai_cm_akb 
(-3, -5, 33), [1, 3, 1], 3.16.ai_cm_ajz 
(-1, -7, 43), [3, 1, 3], 3.16.ai_co_akh 
(-3, -5, 35), [1, 3, 3], 3.16.ai_co_akf 
(-7, 0, -29), [1, 0, 3], 3.16.ah_an_hv 
(-7, 0, -27), [1, 0, 1], 3.16.ah_al_hh 
(-7, 0, -25), [1, 0, 3], 3.16.ah_aj_gt 
(-7, 0, -23), [1, 0, 1], 3.16.ah_ah_gf 
(-7, 0, -21), [1, 0, 3], 3.16.ah_af_fr 
(-7, 0, -15), [1, 0, 1], 3.16.ah_b_eb 
(-7, 0, -13), [1, 0, 3], 3.16.ah_d_dn 
(-7, 0, -11), [1, 0, 1], 3.16.ah_f_cz 
(-7, 0, -9), [1, 0, 3], 3.16.ah_h_cl 
(-7, 0, -7), [1, 0, 1], 3.16.ah_j_bx 
(-5, -2, -15), [3, 2, 1], 3.16.ah_l_l 
(-7, 0, -5), [1, 0, 3], 3.16.ah_l_bj 
(-5, -2, -13), [3, 2, 3], 3.16.ah_n_b 
(-7, 0, -3), [1, 0, 1], 3.16.ah_n_v 
(-5, -2, -11), [3, 2, 1], 3.16.ah_p_aj 
(-7, 0, -1), [1, 0, 3], 3.16.ah_p_h 
(-5, -2, -9), [3, 2, 3], 3.16.ah_r_at 
(-7, 0, 1), [1, 0, 1], 3.16.ah_r_ah 
(-5, -2, -7), [3, 2, 1], 3.16.ah_t_abd 
(-7, 0, 3), [1, 0, 3], 3.16.ah_t_av 
(5, -12, 65), [1, 0, 1], 3.16.ah_v_ach 
(-5, -2, -5), [3, 2, 3], 3.16.ah_v_abn 
(-7, 0, 5), [1, 0, 1], 3.16.ah_v_abj 
(-7, 0, 9), [1, 0, 1], 3.16.ah_z_acl 
(-5, -2, -1), [3, 2, 3], 3.16.ah_z_ach 
(-7, 0, 11), [1, 0, 3], 3.16.ah_bb_acz 
(-5, -2, 1), [3, 2, 1], 3.16.ah_bb_acr 
(-3, -4, 1), [1, 0, 1], 3.16.ah_bd_afb 
(-7, 0, 13), [1, 0, 1], 3.16.ah_bd_adn 
(-5, -2, 3), [3, 2, 3], 3.16.ah_bd_adb 
(-3, -4, 3), [1, 0, 3], 3.16.ah_bf_afh 
(-7, 0, 15), [1, 0, 3], 3.16.ah_bf_aeb 
(-5, -2, 5), [3, 2, 1], 3.16.ah_bf_adl 
(-3, -4, 5), [1, 0, 1], 3.16.ah_bh_afn 
(-7, 0, 17), [1, 0, 1], 3.16.ah_bh_aep 
(-5, -2, 7), [3, 2, 3], 3.16.ah_bh_adv 
(3, -10, 49), [3, 2, 1], 3.16.ah_bj_agr 
(-3, -4, 7), [1, 0, 3], 3.16.ah_bj_aft 
(-7, 0, 19), [1, 0, 3], 3.16.ah_bj_afd 
(-5, -2, 9), [3, 2, 1], 3.16.ah_bj_aef 
(3, -10, 51), [3, 2, 3], 3.16.ah_bl_agl 
(-3, -4, 9), [1, 0, 1], 3.16.ah_bl_afz 
(-7, 0, 21), [1, 0, 1], 3.16.ah_bl_afr 
(-5, -2, 11), [3, 2, 3], 3.16.ah_bl_aep 
(-1, -6, 17), [3, 2, 1], 3.16.ah_bn_aib 
(-5, -2, 13), [3, 2, 1], 3.16.ah_bn_aez 
(1, -8, 33), [1, 0, 1], 3.16.ah_bp_aip 
(-1, -6, 19), [3, 2, 3], 3.16.ah_bp_aid 
(-7, 0, 25), [1, 0, 1], 3.16.ah_bp_agt 
(-3, -4, 13), [1, 0, 1], 3.16.ah_bp_agl 
